clusters,uhh,hls,rls,pengeluaran_kapita,capaian_ipm
1,70.59,11.83,7.75,9368,67.77
1,70.03,12.13,6.51,7849,64.44
1,69.28,11.83,6.54,6877,62.42
1,73.07,12.13,8.41,9375,70.05
1,70.69,11.65,6.84,6875,63.21
1,68.36,12.44,6.88,6934,63.17
1,70.74,13.59,7.45,8296,68.02
1,72.64,12.03,7.2,8516,67.19
1,71.38,11.79,6.32,9261,66.07
1,69.06,11.74,6.8,8477,64.75
1,71.91,12.9,7.66,9279,69.29
1,70.59,12.09,5.46,8769,64.36
1,71.52,11.46,6.45,9831,66.52
1,70.26,11.44,7.35,10550,67.84
1,71.55,11.69,6.81,10217,67.66
1,73.18,11.93,8.66,10323,71.19
1,71.76,11.39,7.53,7522,65.23
1,70.24,11.99,7.06,8265,65.62
1,72.88,12.36,10.2,10576,73.65
1,71.86,13.24,9.08,9729,71.84
2,73.82,13.63,10.52,15609,79.67
1,71.79,12.94,9.76,10732,73.34
2,74.48,13.36,10.71,15116,79.63
2,73.98,13.54,10.71,14424,79.11
2,73.58,13.73,10.78,11012,76.42
1,71.26,13.37,8.56,8785,69.99
1,70.26,12.95,8.06,9476,69.31
1,70.65,12.05,7.83,9537,68.32
1,70.14,12.18,6.74,8077,65.13
1,69.39,11.88,6.61,7074,62.92
1,73.1,12.42,8.5,9580,70.69
1,70.76,11.69,6.88,7079,63.64
1,68.54,12.46,6.94,7081,63.57
1,70.9,13.65,7.55,8432,68.45
1,72.76,12.04,7.34,8580,67.51
1,71.43,12.03,6.41,9463,66.7
1,69.22,11.89,6.89,8594,65.25
1,71.96,12.91,7.72,9339,69.45
1,70.72,12.2,5.56,8866,64.78
1,71.61,11.66,6.58,10012,67.14
1,70.34,11.82,7.42,10732,68.56
1,71.6,11.85,6.94,10379,68.19
1,73.24,12.23,8.81,10435,71.83
1,71.82,11.56,7.63,7698,65.81
1,70.4,12.02,7.07,8312,65.79
1,72.95,13.01,10.28,10662,74.5
1,71.9,13.38,9.28,9819,72.33
2,73.84,13.89,10.58,15805,80.13
1,71.83,13.07,9.87,10824,73.7
2,74.55,13.47,10.78,15236,79.95
2,74.01,13.86,10.76,14560,79.6
2,73.59,13.75,10.89,11141,76.69
1,71.37,13.4,8.63,9145,70.58
1,70.33,13.18,8.19,9815,70.09
1,70.7,12.43,7.84,9901,69.13
1,70.26,12.19,6.79,8263,65.49
1,69.49,11.89,6.92,7300,63.7
1,73.13,12.43,8.51,9854,71.02
1,70.84,11.73,7.28,7270,64.52
1,68.71,12.47,7.12,7250,64.14
1,71.07,13.66,7.59,8658,68.87
1,72.88,12.06,7.35,8736,67.78
1,71.49,12.21,6.61,9650,67.39
1,69.39,12.18,6.9,8833,65.92
1,72,12.93,7.98,9569,70.07
1,70.86,12.21,5.97,9014,65.58
1,71.71,11.67,6.83,10206,67.73
1,70.42,11.89,7.74,10941,69.28
1,71.64,11.96,7.34,10703,69.17
1,73.3,12.63,8.82,10790,72.63
1,71.87,11.79,7.74,8002,66.63
1,70.56,12.03,7.37,8588,66.6
2,73.01,13.37,10.29,10940,75.16
1,71.95,13.39,9.52,10188,73.03
2,73.86,13.9,10.59,16033,80.31
1,71.86,13.08,9.88,11100,74
2,74.63,13.51,10.93,15378,80.3
2,74.04,13.87,10.84,14727,79.83
2,73.61,13.76,10.93,11353,76.95
1,71.48,13.41,9.03,9497,71.51
1,70.39,13.19,8.59,9987,70.79
1,70.86,12.44,7.88,10323,69.69
1,70.49,12.2,6.8,8618,66.05
1,69.7,11.9,6.93,7874,64.62
1,73.26,12.64,8.58,10203,71.75
1,71.03,11.8,7.5,7597,65.42
1,68.96,12.48,7.13,7761,65
1,71.32,13.67,7.6,9190,69.63
1,73.11,12.07,7.36,9297,68.55
1,71.66,12.22,6.62,10212,68.05
1,69.68,12.19,6.91,9416,66.72
1,72.14,12.94,8.17,10153,70.99
1,71.11,12.22,5.98,9633,66.36
1,71.92,11.68,6.84,10715,68.31
1,70.61,12.09,7.75,11372,69.98
1,71.81,12.07,7.35,11277,69.89
1,73.43,13.05,8.84,11155,73.49
1,72.03,11.83,7.97,8329,67.46
1,70.84,12.04,7.58,8968,67.44
2,73.21,13.38,10.3,11348,75.66
1,72.11,13.4,9.53,10609,73.55
2,74,14.18,10.63,16630,81.06
1,71.99,13.09,9.89,11397,74.35
2,74.76,13.76,11.09,15755,81.04
2,74.17,13.9,10.85,15262,80.29
2,73.75,13.77,10.94,11921,77.56
1,71.7,13.42,9.04,9855,72.03
1,70.59,13.2,8.6,10329,71.25
1,71.01,12.47,8.29,10683,70.65
1,70.73,12.22,7.02,8973,66.87
1,69.91,11.98,6.97,8290,65.38
1,73.4,12.68,8.79,10502,72.41
1,71.22,11.82,7.51,8099,66.22
1,69.21,12.52,7.17,8092,65.64
1,71.57,13.79,7.69,9557,70.39
1,73.35,12.1,7.38,9673,69.12
1,71.82,12.24,6.71,10670,68.69
1,69.97,12.21,7.09,9822,67.52
1,72.29,12.96,8.27,10406,71.46
1,71.37,12.24,5.99,10090,66.97
1,72.13,11.69,6.85,11012,68.69
1,70.8,12.1,7.92,11819,70.67
1,71.98,12.08,7.65,11856,70.86
1,73.56,13.08,8.84,11610,73.99
1,72.18,11.86,8.18,8684,68.27
1,71.12,12.06,7.67,9423,68.21
2,73.41,13.4,10.32,11825,76.23
1,72.26,13.46,9.58,11204,74.31
2,74.14,14.19,10.74,17254,81.62
1,72.13,13.11,9.9,11930,74.92
2,74.89,13.99,11.1,16157,81.59
2,74.31,13.91,11,15696,80.82
2,73.89,13.79,10.95,12448,78.11
1,71.93,13.44,9.13,10414,72.84
1,70.79,13.22,8.62,10705,71.75
1,71.17,12.48,8.3,10317,70.4
1,70.97,12.23,7.07,8823,66.88
1,70.13,11.99,7.18,7980,65.36
1,73.53,12.69,8.96,10201,72.39
1,71.41,11.91,7.52,7876,66.12
1,69.47,12.53,7.35,7852,65.67
1,71.83,14.06,7.7,9288,70.49
1,73.59,12.22,7.57,9459,69.38
1,71.99,12.25,6.92,10342,68.75
1,70.27,12.22,7.27,9521,67.59
1,72.43,12.97,8.51,10217,71.64
1,71.63,12.25,6.3,9859,67.29
1,72.35,11.7,7.1,10790,68.95
1,70.99,12.11,8.09,11614,70.82
1,72.15,12.09,7.77,11315,70.66
1,73.68,13.09,9.12,11241,74.07
1,72.34,11.87,8.19,8455,68.08
1,71.4,12.07,7.74,9084,68.06
2,73.61,13.41,10.33,11564,76.11
1,72.42,13.47,9.59,10999,74.21
2,74.28,14.2,10.75,16887,81.51
1,72.26,13.12,9.91,11800,74.89
2,75.01,14,11.16,15776,81.5
2,74.44,13.92,11.28,15281,80.97
2,74.03,13.8,10.96,12025,77.83
1,72.15,13.45,9.33,10263,73.04
1,70.99,13.23,8.63,10535,71.7
1,71.36,12.49,8.31,10410,70.6
1,71.21,12.24,7.1,8850,67.07
1,70.32,12,7.19,8052,65.56
1,73.72,12.7,9.07,10307,72.73
1,71.59,12.03,7.53,7961,66.45
1,69.67,12.54,7.48,7829,65.9
1,72.02,14.2,7.9,9259,70.93
1,73.78,12.23,7.8,9409,69.71
1,72.18,12.27,7.1,10368,69.12
1,70.46,12.23,7.31,9591,67.81
1,72.62,12.98,8.52,10262,71.8
1,71.84,12.26,6.52,9810,67.64
1,72.58,11.71,7.11,10854,69.13
1,71.18,12.12,8.1,11669,70.98
1,72.33,12.1,7.78,11522,70.94
1,73.81,13.1,9.3,11341,74.45
1,72.52,11.88,8.2,8546,68.29
1,71.6,12.08,7.85,9065,68.28
2,73.82,13.42,10.53,11716,76.59
1,72.58,13.58,9.81,10942,74.6
2,74.46,14.21,10.99,16996,81.96
1,72.44,13.13,10.12,11810,75.25
2,75.19,14.1,11.31,15903,81.95
2,74.62,13.93,11.46,15420,81.37
2,74.21,13.81,11.08,12019,78.06
1,72.34,13.46,9.52,10213,73.31
1,71.19,13.24,8.77,10476,71.92
